created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jul 28 12:30:03 +0000 2023;1684904046451433472;"@Heraloebss Meresahkan banget Bu sepeda listrik tuh karena yang make dominan anak kecil belum lagi pada kebut-kebutan. Selain itu, jadi banyak anak kecil yang bisa mengendarai motor juga. Bersyukurlah kalian yang punya anak kecil tapi takut untuk make sepeda listrik.";0;0;0;0;in;822806255009820672;1684849364169322496;esmeepika;https://twitter.com/esmeepika/status/1684904046451433472
Fri Jul 28 12:22:59 +0000 2023;1684902270813761536;"@Heraloebss sy pake sepeda listrik terus pake helm dijalan raya, banyak yg liatin  mungkin bagi mreka aneh naik sepeda pake helm padahal hrs disamain antara sepeda listrik sm motor ketika berkendara di jalan raya, untuk safety";0;0;0;1;in;99427000;1684849364169322496;ADIcted19;https://twitter.com/ADIcted19/status/1684902270813761536
Fri Jul 28 12:14:15 +0000 2023;1684900069064220672;"@Heraloebss Sepeda listrik dan motor listrik sangat berbahaya karena tidak punya suara, sehingga rawan sekali ketabrak orang dan di tabrak kandaraan lain.";0;0;0;0;in;1430876954043977731;1684849364169322496;Bahrunehbos;https://twitter.com/Bahrunehbos/status/1684900069064220672
Fri Jul 28 12:11:38 +0000 2023;1684899412353671169;"@Heraloebss Kendaraan listrik roda 2 semuanya berbahaya!!  imo, karena mental pengendaranya.  Mereka berlagak seolah sepeda motor, nikung sana sini. Padahal kendaraan bermotor dan listrik itu BEDA 1. Ga ada suara, senyap 2. Ga ada lampu (mostly)  Bikin ga trlalu sadar ada dia di sebelah";0;1;0;7;in;1223647458;1684849364169322496;lullabwe;https://twitter.com/lullabwe/status/1684899412353671169
Fri Jul 28 12:02:27 +0000 2023;1684897099958403072;"@Heraloebss Sepeda listrik &amp  sepeda motor adalah sama-sama kendaraan bermotor.";0;0;0;0;in;89699871;1684849364169322496;rizkres;https://twitter.com/rizkres/status/1684897099958403072
Fri Jul 28 12:01:07 +0000 2023;1684896763944312832;"Ekosistem konversi motor listrik masih diperlukan koordinasi dengan berbagai pihak terkait. https://t.co/qmsIoJzSqK";0;0;0;1;in;23343960;1684896763944312832;kompascom;https://twitter.com/kompascom/status/1684896763944312832
Fri Jul 28 11:48:40 +0000 2023;1684893631080222720;"Beli motor listrik mudah dan praktis melalui aplikasi PLN Mobile selain itu motor listrik juga lebih hemat biaya operasional. #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/qg5gurkFIp";0;0;0;1;in;1357255355894435850;1684893631080222720;Glynnisptr;https://twitter.com/Glynnisptr/status/1684893631080222720
Fri Jul 28 11:46:01 +0000 2023;1684892965305712640;"Demi lingkungan yang lebih baik buruan deh beralih ke motor listrik, kini muda loh beli motor listrik melalui aplikadi PLN Mobile #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/XY3spuaBHt";0;1;0;1;in;784555574658756612;1684892965305712640;cruisefr;https://twitter.com/cruisefr/status/1684892965305712640
Fri Jul 28 11:45:52 +0000 2023;1684892927032737792;"@Lievyskinwhite mjb kak, motor listrik gini ngisi dayanya pake token kah? apa di dicharge? kira2 sebulan bisa abis berapa yaa? tia";0;0;0;0;in;1567000906834800640;1684140188891774976;fucekdeh;https://twitter.com/fucekdeh/status/1684892927032737792
Fri Jul 28 11:45:21 +0000 2023;1684892798217330688;"Mantap banget nih beli motor listrik lewat aplikasi PLN Mobile aja mudah dan praktis buruan beralih guys demi lingkungan yang lebih baik #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/h2SEaZxqqO";0;0;0;1;in;1632766895299661825;1684892798217330688;thisikooo;https://twitter.com/thisikooo/status/1684892798217330688
Fri Jul 28 11:44:50 +0000 2023;1684892667292098560;"Yuk sekarang beli motor listrik mudah loh dengan aplikasi PLN Mobile, buruan beralih demi lingkungan yang lebih baik #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/73GY6Zims5";0;0;0;1;in;1542687248;1684892667292098560;chiaraaurellie;https://twitter.com/chiaraaurellie/status/1684892667292098560
Fri Jul 28 11:44:18 +0000 2023;1684892533170593793;"Mudah banget loh beralih ke motor listrik bisa melalui Aplikasi PLN Mobile yuk beralih ke motor listrik agar lingkungan sehat bebas polusi #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/xLWBz7UBix";0;0;0;1;in;1624947242;1684892533170593793;clarettariella;https://twitter.com/clarettariella/status/1684892533170593793
Fri Jul 28 11:44:09 +0000 2023;1684892495547887617;"Kejar Target 50.000 Motor Listrik Konversi 2023, Luhut Minta BPKB dan STNK Tak Dipersulit https://t.co/tLBy2HF9Ee";0;0;0;1;in;47596019;1684892495547887617;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1684892495547887617
Fri Jul 28 11:43:32 +0000 2023;1684892341625393152;"Guys yuk segera beralih ke motor listrik demi lingkungan yang lebih baik dan belinya di aplikasi PLN Mobile aja 👍 #PakaiMolisYuk  Selingkuh Cat 1 Daddies G.O.A.T Jisoo Berapa Aja Ngejar Akane Cat 5 Jolly Asyura https://t.co/uL2JPoVMTf";0;0;0;1;in;636855255;1684892341625393152;cessaazzahraa;https://twitter.com/cessaazzahraa/status/1684892341625393152
Fri Jul 28 11:42:30 +0000 2023;1684892080316026880;"@Heraloebss pernah lg santai baws motor,, tiba2 di salip bocil pake sepeda listrik dr kiri... Anjayyy.,, senyap cook ni sepeda,, mengkaget..";0;0;0;0;in;1716448507;1684849364169322496;SirNetijen;https://twitter.com/SirNetijen/status/1684892080316026880
Fri Jul 28 11:39:36 +0000 2023;1684891348959399936;"@Heraloebss Masalahnya, punya sepeda listrik tapi kelakuan kayak naik motor tapi ngerasa naik sepeda. Yg naik anak2 gapake helm, tapi kecepatan setara motor. Sebel kalo ujug2 ada yg nyalip. Soalnya ga ada suaranya kann 😩.";0;0;0;0;in;1579351872724668417;1684849364169322496;SedotanNasi;https://twitter.com/SedotanNasi/status/1684891348959399936
Fri Jul 28 11:35:47 +0000 2023;1684890389709488128;"@Heraloebss ortu ortu nganggep sepeda listrik lebih aman dari motor";0;0;0;0;in;996046413623508992;1684849364169322496;droefheiddd;https://twitter.com/droefheiddd/status/1684890389709488128
Fri Jul 28 11:35:42 +0000 2023;1684890370138882049;"Target 50 Ribu Motor Konversi ke Listrik Tidak Akan Tercapai, Begini Kata Luhut : Okezone Economy https://t.co/qncrGOPuZ7";0;0;0;0;in;305657272;1684890370138882049;ilhamiasnawi;https://twitter.com/ilhamiasnawi/status/1684890370138882049
Fri Jul 28 11:34:03 +0000 2023;1684889955938820096;"Pelaksanaan Program Konversi Sepeda Motor Listrik, Luhut Sebut Masih Perlu Perbaikan #TempoBisnis https://t.co/SbQGS19Umb";0;1;1;4;in;18129942;1684889955938820096;tempodotco;https://twitter.com/tempodotco/status/1684889955938820096
Fri Jul 28 11:32:45 +0000 2023;1684889626312577024;"@Heraloebss Sepeda ada mesin listrik, berarti jadi motor listrik";0;0;0;0;in;1516232297695313921;1684849364169322496;JoeSamsung6;https://twitter.com/JoeSamsung6/status/1684889626312577024
Fri Jul 28 11:32:32 +0000 2023;1684889574533922817;"Luhut menilai perlu kerja sama dari semua pihak agar target konversi motor listrik. #bisnisupdate #update #bisnis #text https://t.co/UFNpKuSqYo";3;1;1;1;in;759692754985242625;1684889574533922817;kumparan;https://twitter.com/kumparan/status/1684889574533922817
Fri Jul 28 11:29:22 +0000 2023;1684888775787524096;"@berry_yumafian @calllvee @Heraloebss Ini hasil didikan dari org tua yg udh ngasih izin anaknya bawa kendaraan ber”MOTOR” waktu masih smp. Dikira sepeda listrik ga ber-MOTOR.";0;1;0;0;in;128463519;1684849364169322496;Ghotslike;https://twitter.com/Ghotslike/status/1684888775787524096
Fri Jul 28 11:22:24 +0000 2023;1684887022908194816;"Ebreg kolotna kata orang sunda mah.Kayanya bangga anak bisa kendarain motor,entah motor biasa atau listrik.Banyak koq bahkan sangat banyak anak belum cukup umur berkendara di jalan raya.Bonceng 3 bahkan 4.Pd ketawa balapan.";0;0;0;1;in;2454202386;1684887022908194816;UsepRamadan_G;https://twitter.com/UsepRamadan_G/status/1684887022908194816
Fri Jul 28 11:18:30 +0000 2023;1684886039767494656;"Ini karena desain sepeda listrik dibikin seperti motor";0;1;0;0;in;15915874;1684886039767494656;gombang;https://twitter.com/gombang/status/1684886039767494656
